review_id,rating,comment,is_negative
95898001,5,Such a great experience! Everything was wonderful!,0
95898002,5,The beach was amazing. The hotel was beautiful and everything was great!,0
95898003,5,My family and I will visit again! The staff made my children felt so special!,0
95898004,5,Hands down the best place to be in the summer. ,0
95898005,1,What a tragedy. The spa staff were so unprofessional and so overpriced. I tried to stay peaceful but they were outright awful.,1
95898006,4,"Everything was good. Except for check-in which was slow, everything was great.",0
95898007,5,This is the best! The steak in the main restaurant was amazing! Please keep this on the menu.,0
95898008,5,Loved it! The spa was so great!,0
95898009,4,The view was great. But the room had to be recleaned when we got in. Great time though.,0
95898010,1,Our room was a mess. It took 40 minutes just to get housekeeping to come in to then do a shoddy job.,1
95898011,5,What a lovely place! The staff were so amazing and efficient in taking care of our every need.,0
95898012,5,The ocean front room is amazing. Hearing the crash of waves in the morning is so peaceful.,0
95898013,4,"The main restaurant, Jasmine Pearl was fabulous. I just wish it wasn't so pricey.",0
95898014,4,"The room was a little bit messy when we came in but other than that, the stay was lovely.",0
95898015,5,A grand spot to take the family!,0
95898016,4,Definitely an above average place to stay. Just a bit confusing to get around,0
95898017,4,It's a very peaceful and quaint place. The hotel was cool.,0
95898018,5,So good! Will be coming back!,0
95898019,5,It's my first time here and it was great. What a great place,0
95898020,4,Pretty good resort overall. One thing I didn't like was the spa. The spa was weirdly cold.,0
95898021,1,I paid for an ocean view room and I can only see a sliver of the water? What a scam!,1
95898022,1,The food at the restaurant was horrid! I can't believe I had to pay sixty dollars on a dry aged slab of garbage!,1
95898023,5,"The pool, the beach, everything was fun!",0
95898024,4,It's an overall good resort. ,0
95898025,5,The best part is staff. They really show that great hospitality.,0
95898026,3,"For a resort, I expected a bit more. The room was nice, the service was just okay, and the food I had was really subpar.",0
95898027,5,Really amazing place to be. The beach is beautiful and the staff were so helpful.,0
95898028,5,"Overall, it's an A Plus from me. The goart cheese fritters in the bar were divine.",0
95898029,5,The people here are so nice and hospitable.,0
95898030,1,My room was not cleaned when I entered it. It smelled rancid.,1
95898031,4,Great place for conferences. Staff are nice and do their best.,0
95898032,5,The concierge set my family up so well with everything. This resort is a great experience.,0
95898033,5,Thank you for everything!,0
95898034,4,Quality resort and beautiful amenities. Above average food.,0
95898035,5,So fancy! The beach was so pretty!,0
95898036,1,This was the worst experience in a resort I've ever been to. The spa was lackluster and the water was harsh on my body. I just wanted to relax but now I have skinflakes from this establishment.,1
95898037,5,"The Presidential Suite was amazing. It housed my party greatly and with such fast staff, it was an amazing experience",0
95898038,1,Down right awful. I can't believe that the room was not cleaned before our arrival.,1
95898039,1,The banquet we were supposed to have was ruined by poor service. Absolutely terrible.,1
